#Incident energy 	 
#Incident energy 	 
#Incident energy 	 σ(E)
#1E-05	0
3423300	0.059366
3424600	0.056473
3425800	0.053794
3428300	0.04903
3430700	0.044937
3433200	0.041403
3435600	0.038333
3438100	0.035646
3444200	0.03021
3450400	0.026083
3456500	0.02284
3462700	0.020221
3475000	0.01625
3487300	0.013388
3499600	0.011244
3511900	0.0095982
3524200	0.008313
3536500	0.0072989
3548800	0.0064948
3561100	0.0058593
3573400	0.0053661
3585700	0.0050051
3598000	0.004797
3610300	0.0048947
3622600	0.0074249
3634900	0.0070599
3647200	0.0041378
3659500	0.0045487
3671800	0.0055739
3684100	0.0043814
3690300	0.0040897
3696400	0.0063634
3702600	0.027588
3703800	0.044967
3705100	0.073384
3706300	0.095758
3707500	0.081142
3708700	0.053701
3710000	0.035057
3711200	0.024285
3712400	0.017931
3713700	0.013971
3714900	0.011363
3721000	0.005996
3727200	0.0043913
3733400	0.0036901
3739500	0.0033158
3745700	0.00309
3758000	0.0028391
3770300	0.0027082
3782600	0.0026309
3794900	0.0025813
3807200	0.0025478
3819500	0.0025243
3831800	0.0025074
3844100	0.0024954
3856400	0.0024876
3868700	0.0024844
3881000	0.0024877
3893300	0.0025009
3905600	0.0025299
3917900	0.002584
3930200	0.0026766
3942500	0.0028262
3954800	0.0030557
3967100	0.0033894
3979400	0.003848
3991700	0.0044429
3997900	0.0047928
4004000	0.0051785
4010200	0.0056035
4016300	0.0060726
4022500	0.0065998
4028600	0.0072065
4034800	0.0079343
4040500	0.008778
4040900	0.0088541
4047100	0.010092
4053200	0.011884
4059400	0.014657
4065500	0.019091
4068000	0.021616
4071700	0.025403
4075400	0.028042
4077800	0.029802
4080300	0.027635
4085200	0.0233
4087700	0.021133
4090100	0.018964
4096300	0.01515
4102400	0.011334
4108600	0.010151
4114700	0.0089687
4127000	0.0081696
4139300	0.0079022
4151600	0.0078578
4163900	0.0079251
4176200	0.0080604
4188500	0.008246
4200800	0.0084759
4213100	0.0087501
4225400	0.009074
4237700	0.009457
4250000	0.009915
4262300	0.010472
4274700	0.011165
4287000	0.012054
4299300	0.01324
4311600	0.014907
4323900	0.017417
4330000	0.019488
4336200	0.02156
4342300	0.025443
4348500	0.029328
4354600	0.037971
4360800	0.046618
4366900	0.06367
4370600	0.079881
4373100	0.090691
4375500	0.1038
4379200	0.12347
4380500	0.1284
4381700	0.1319
4382900	0.13361
4384100	0.13333
4385400	0.131
4386600	0.12679
4387800	0.12101
4389100	0.1141
4390300	0.10651
4391500	0.098667
4392800	0.090825
4395200	0.076265
4397700	0.063847
4403800	0.042276
4410000	0.030233
4416100	0.023398
4422300	0.019364
4428400	0.016902
4434600	0.01537
4440700	0.014421
4446900	0.013855
4453000	0.013546
4459200	0.013387
4461600	0.013328
4464100	0.013232
4465300	0.013136
4466600	0.013041
4469000	0.012632
4471500	0.011793
4473900	0.010359
4476400	0.0088666
4477600	0.0084954
4478900	0.00847
4480100	0.0087112
4481300	0.0090986
4482600	0.0095358
4483800	0.0099663
4485000	0.010366
4486300	0.010727
4487500	0.01105
4488700	0.011339
4491200	0.011837
4493600	0.012257
4496100	0.012625
4498600	0.012962
4501000	0.01328
4502200	0.013433
4503500	0.013586
4505900	0.01389
4508400	0.014194
4514500	0.014987
4520700	0.015865
4526800	0.016878
4533000	0.018089
4539200	0.019587
4542800	0.020748
4545300	0.021522
4547800	0.022577
4550200	0.023633
4551500	0.024161
4552700	0.024941
4553900	0.02572
4555100	0.026501
4556400	0.027281
4557600	0.028061
4558800	0.029149
4560100	0.030237
4561300	0.031619
4562500	0.033
4563800	0.034838
4565000	0.036676
4566200	0.039289
4567400	0.041902
4569900	0.05011
4571100	0.056316
4572400	0.065016
4573600	0.077763
4574800	0.096947
4576100	0.12453
4577300	0.15516
4578500	0.16825
