#N          DATA        ERR-S       
#MEV         MB          MB          
2.8217      9.3707e-01  1.2640e-02  
2.8217      9.4387e-01  1.2115e-02  
2.8235      1.2752e+00  1.4080e-02  
2.8252      1.4570e+00  1.5053e-02  
2.8270      1.3145e+00  1.4299e-02  
2.8287      1.2024e+00  1.3676e-02  
2.8305      1.2573e+00  1.3993e-02  
2.8322      1.3740e+00  1.4624e-02  
2.8340      1.6145e+00  1.5853e-02  
2.8357      2.1144e+00  1.8144e-02  
2.8375      2.7608e+00  2.0735e-02  
2.8392      3.6702e+00  2.3914e-02  
2.8410      5.4463e+00  2.9146e-02  
2.8427      8.6886e+00  3.6848e-02  
2.8445      1.3788e+01  4.6487e-02  
2.8453      1.5963e+01  5.0071e-02  
2.8462      1.5163e+01  4.8783e-02  
2.8471      1.3490e+01  4.5982e-02  
2.8480      9.2125e+00  3.7967e-02  
2.8480      9.3440e+00  3.8242e-02  
2.8497      4.0660e+00  2.5191e-02  
2.8515      2.3020e+00  1.8950e-02  
2.8524      2.0431e+00  1.7854e-02  
2.8532      2.0324e+00  1.7809e-02  
2.8541      2.1575e+00  1.8350e-02  
2.8550      2.6803e+00  2.0456e-02  
2.8567      5.2442e+00  2.8630e-02  
2.8585      1.4658e+01  4.7955e-02  
2.8594      1.7082e+01  5.1830e-02  
2.8603      1.6375e+01  5.0729e-02  
2.8611      1.3506e+01  4.6057e-02  
2.8620      9.8571e+00  3.9278e-02  
2.8638      4.4405e+00  2.6352e-02  
2.8655      2.3340e+00  1.9102e-02  
2.8673      1.5209e+00  1.5423e-02  
2.8673      1.5437e+00  1.5536e-02  
2.8691      1.3180e+00  1.4359e-02  
2.8708      1.2911e+00  1.4212e-02  
2.8726      1.3955e+00  1.4776e-02  
2.8743      1.6284e+00  1.5963e-02  
2.8779      2.4163e+00  1.9449e-02  
2.8796      3.1618e+00  2.2253e-02  
2.8796      3.2101e+00  2.2426e-02  
2.8814      4.5897e+00  2.6832e-02  
2.8823      5.5342e+00  2.9474e-02  
2.8827      6.0293e+00  3.0749e-02  
2.8832      6.3697e+00  3.1631e-02  
2.8840      5.8046e+00  3.0194e-02  
2.8849      4.9272e+00  2.7813e-02  
2.8854      4.6649e+00  2.7041e-02  
2.8867      2.9765e+00  2.1608e-02  
2.8885      1.8752e+00  1.7149e-02  
2.8902      1.3292e+00  1.4439e-02  
2.8926      9.0144e-01  1.1892e-02  
2.8949      7.5025e-01  1.0851e-02  
2.8961      7.2686e-01  1.0689e-02  
2.8973      7.4851e-01  1.0839e-02  
2.8985      7.7164e-01  1.1016e-02  
2.8996      1.0229e+00  1.2671e-02  
2.9008      1.4656e+00  1.5175e-02  
2.9032      2.4514e+00  1.9625e-02  
2.9044      2.7382e+00  2.0745e-02  
2.9055      2.8136e+00  2.1031e-02  
2.9067      2.6340e+00  2.0351e-02  
2.9091      2.0913e+00  1.8133e-02  
2.9109      1.6830e+00  2.2111e-02  
2.9114      1.6880e+00  1.6293e-02  
2.9138      1.4022e+00  2.0181e-02  
2.9162      1.2951e+00  1.4275e-02  
2.9197      1.1590e+00  1.8347e-02  
2.9215      1.1141e+00  1.3245e-02  
2.9256      1.0395e+00  1.7380e-02  
2.9316      1.1272e+00  1.8093e-02  
2.9316      1.1581e+00  1.8339e-02  
2.9375      1.4383e+00  2.0444e-02  
2.9434      1.8589e+00  2.3243e-02  
2.9494      2.8789e+00  2.8922e-02  
2.9553      3.7558e+00  3.3041e-02  
2.9613      4.9105e+00  3.7788e-02  
2.9643      5.2549e+00  3.9099e-02  
